Plant,Area,Department,Line,Cell,Machine,Station,Workstation,Zone,Team,HierarchyType,EntityCode,EntityAlias,MarsId,Name,TimeZone,TimeZoneId,Address,Coordinates,Type,LanguageFormat,Alias,AssetType,Oem,AreaPaypoint,DepartmentPaypoint,LinePaypoint,ParallelProcess,BottleneckPoint,HomeDepartmentLevel,Region,Acronym,CintooUrl,EpAlertDescription,DtUrls,XOrigin,YOrigin,LatOrigin,LngOrigin,ScalingFactor,PinX,PinY,GspasX,GspasY,AcadX,AcadY,PcbAlias,FisAreaSAKey,FisNodeID,FisServerInstance,Grr,Err,Erc,Jph100,DesignCycleTime,PartsPerCycle,ManAvailTarget,EquipAvailTarget,EquipSimMttr,EquipSimMtbf,ActiveEntity,CdmActiveEntity
AP20A,F1,8I,EL2,0,0,41,N,,,workstation,8IEL2041N,EL2,60f82694ca9d410ce02dd38b,8IEL2041N,,,,,,,,,,,,,,,,,,,ENG C05EL241N EP STOP R4,[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,F1,8I,EL2,0,0,42,0,,,station,8IEL2042,8IEL2042,60f82694ca9d410ce02dd386,8IEL2042,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,F1,8I,EL2,0,0,42,N,,,workstation,8IEL2042N,EL2,60f82694ca9d410ce02dd387,8IEL2042N,,,,,,,,,,,,,,,,,,,ENG C05EL242N EP STOP R4,[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,F1,8I,EL2,0,0,43,0,,,station,8IEL2043,8IEL2043,60f82694ca9d410ce02dd38c,8IEL2043,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,F1,8I,EL2,0,0,43,N,,,workstation,8IEL2043N,EL2,60f82694ca9d410ce02dd38f,8IEL2043N,,,,,,,,,,,,,,,,,,,ENG C05EL243N EP STOP S4,[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,F1,8I,EL2,0,0,43,S,,,workstation,8IEL2043S,EL2,60f82694ca9d410ce02dd38d,8IEL2043S,,,,,,,,,,,,,,,,,,,ENG C05EL243S EP STOP S5,[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,F1,8I,EL2,0,0,44,0,,,station,8IEL2044,8IEL2044,60f82694ca9d410ce02dd390,8IEL2044,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,F1,8I,EL2,0,0,44,N,,,workstation,8IEL2044N,EL2,60f82694ca9d410ce02dd39b,8IEL2044N,,,,,,,,,,,,,,,,,,,ENG C05EL244N EP STOP S4,[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,F1,8I,EL2,0,0,44,S,,,workstation,8IEL2044S,EL2,60f82694ca9d410ce02dd391,8IEL2044S,,,,,,,,,,,,,,,,,,,ENG C05EL244S EP STOP S5,[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,F1,8I,EL2,0,0,45,0,,,station,8IEL2045,8IEL2045,60f82694ca9d410ce02dd384,8IEL2045,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,F1,8I,EL2,0,0,45,N,,,workstation,8IEL2045N,EL2,60f82694ca9d410ce02dd385,8IEL2045N,,,,,,,,,,,,,,,,,,,ENG C05EL245N EP STOP S4,[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,F1,8I,EL2,0,0,45,S,,,workstation,8IEL2045S,EL2,60f82694ca9d410ce02dd39a,8IEL2045S,,,,,,,,,,,,,,,,,,,ENG C05EL245S EP STOP S5,[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,F1,8I,EL2,0,0,46,0,,,station,8IEL2046,8IEL2046,60f82694ca9d410ce02dd37a,8IEL2046,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,F1,8I,EL2,0,0,46,N,,,workstation,8IEL2046N,EL2,60f82694ca9d410ce02dd383,8IEL2046N,,,,,,,,,,,,,,,,,,,ENG C05EL246N EP STOP T4,[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,F1,8I,EL2,0,0,46,S,,,workstation,8IEL2046S,EL2,60f82694ca9d410ce02dd37b,8IEL2046S,,,,,,,,,,,,,,,,,,,ENG C05EL246S EP STOP T5,[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,F1,8I,EL2,0,0,47,0,,,station,8IEL2047,8IEL2047,60f82694ca9d410ce02dd39d,8IEL2047,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,F1,8I,EL2,0,0,47,S,,,workstation,8IEL2047S,EL2,60f82694ca9d410ce02dd39e,8IEL2047S,,,,,,,,,,,,,,,,,,,ENG C05EL247S EP STOP T5,[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,F1,8I,EL2,0,0,48,0,,,station,8IEL2048,8IEL2048,60f82694ca9d410ce02dd378,8IEL2048,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,F1,8I,EL2,0,0,48,N,,,workstation,8IEL2048N,EL2,60f82694ca9d410ce02dd37c,8IEL2048N,,,,,,,,,,,,,,,,,,,ENG C05EL248N EP STOP T4,[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,F1,8I,EL2,0,0,48,S,,,workstation,8IEL2048S,EL2,60f82694ca9d410ce02dd379,8IEL2048S,,,,,,,,,,,,,,,,,,,ENG C05EL248S EP STOP T5,[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,F1,8I,EL2,0,0,50,0,,,station,8IEL2050,8IEL2050,60f82694ca9d410ce02dd394,8IEL2050,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,F1,8I,EL2,0,0,50,N,,,workstation,8IEL2050N,EL2,60f82694ca9d410ce02dd395,8IEL2050N,,,,,,,,,,,,,,,,,,,ENG C05EL250N EP STOP U4,[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,F1,8I,EL2,0,0,51,0,,,station,8IEL2051,8IEL2051,60f82694ca9d410ce02dd39f,8IEL2051,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,F1,8I,EL2,0,0,52,0,,,station,8IEL2052,8IEL2052,60f82694ca9d410ce02dd398,8IEL2052,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,F1,8I,EL2,0,0,52,S,,,workstation,8IEL2052S,EL2,60f82694ca9d410ce02dd399,8IEL2052S,,,,,,,,,,,,,,,,,,,ENG C05EL252S EP STOP V5,[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,F1,8I,RSB,0,0,1,0,,,station,8IRSB001,8IRSB001,60f82694ca9d410ce02dd287,8IRSB001,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,F1,8I,RSB,0,0,1,E,,,workstation,8IRSB001E,RSB,60f82694ca9d410ce02dd288,8IRSB001E,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,F1,8I,SFA,0,0,0,0,,,line,SFA,Front Sub Frame Assembly,60c8daade862ba0f5538301f,SFA,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,F1,8I,ST,0,0,0,0,,,line,ST,Front Strut Assembly,60c8daade862ba0f55383018,ST,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,F1,8I,VIN,0,0,0,0,,,line,VIN,VIN Stamp (Offline),60c8dab2e862ba0f5538309f,VIN,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,F1,8I,,,,,,8E,T5,team,T5,Team 5,60c8dab2e862ba0f553830a8,T5,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
