Plant,Area,Department,Line,Cell,Machine,Station,Workstation,Zone,Team,HierarchyType,EntityCode,EntityAlias,MarsId,Name,TimeZone,TimeZoneId,Address,Coordinates,Type,LanguageFormat,Alias,AssetType,Oem,AreaPaypoint,DepartmentPaypoint,LinePaypoint,ParallelProcess,BottleneckPoint,HomeDepartmentLevel,Region,Acronym,CintooUrl,EpAlertDescription,DtUrls,XOrigin,YOrigin,LatOrigin,LngOrigin,ScalingFactor,PinX,PinY,GspasX,GspasY,AcadX,AcadY,PcbAlias,FisAreaSAKey,FisNodeID,FisServerInstance,Grr,Err,Erc,Jph100,DesignCycleTime,PartsPerCycle,ManAvailTarget,EquipAvailTarget,EquipSimMttr,EquipSimMtbf,ActiveEntity,CdmActiveEntity
AP20A,1B,2B,8,0,0,180,0,,,station,2B8180,2B8180,60f82694ca9d410ce02dce76,2B8180,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,1B,2B,8,0,0,200,0,,,station,2B8200,2B8200,60f82694ca9d410ce02dce7a,2B8200,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,1B,2B,8,0,0,200,C,,,workstation,2B8200C,8Y-200 Respot,60f82694ca9d410ce02dce7b,2B8200C,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,1B,2B,8,0,0,210,C,,,workstation,2B8210C,8Y-210 Respot,60f82694ca9d410ce02dce7d,2B8210C,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,1B,2B,8,0,0,220,0,,,station,2B8220,2B8220,60f82694ca9d410ce02dce7e,2B8220,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,1B,2B,9,0,0,250,0,,,station,2B9250,2B9250,60f82694ca9d410ce02dce80,2B9250,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,1B,2B,9,0,0,250,C,,,workstation,2B9250C,8Y-250 Respot,60f82694ca9d410ce02dce81,2B9250C,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,1B,2B,9,0,0,260,0,,,station,2B9260,2B9260,60f82694ca9d410ce02dce82,2B9260,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,1B,2B,9,0,0,260,C,,,workstation,2B9260C,8Y-260 Respot,60f82694ca9d410ce02dce83,2B9260C,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,1B,2B,9,0,0,270,0,,,station,2B9270,2B9270,60f82694ca9d410ce02dce84,2B9270,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,1B,2B,9,0,0,270,C,,,workstation,2B9270C,8Y-270 Respot,60f82694ca9d410ce02dce85,2B9270C,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,1B,2B,9,0,0,280,0,,,station,2B9280,2B9280,60f82694ca9d410ce02dce86,2B9280,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,1B,2B,9,0,0,290,0,,,station,2B9290,2B9290,60f82694ca9d410ce02dce88,2B9290,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,1B,2B,9,0,0,290,C,,,workstation,2B9290C,8Y-290 Respot,60f82694ca9d410ce02dce89,2B9290C,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,1B,2B,9,0,0,300,C,,,workstation,2B9300C,8Y-300 Merge,60f82694ca9d410ce02dce8b,2B9300C,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,1B,2B,99,0,0,0,0,,,line,99,Quality (Body Systems),60c8da95e862ba0f55382dc4,99,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,1B,2B,,,,,,3A,AA,team,AA,AUTOMATION,60c8da95e862ba0f55382dd2,AA,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,1B,2B,,,,,,X,NP,team,NP,NULL PROCESSES,60c8da97e862ba0f55382e04,NP,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,1B,2B,3,0,0,0,0,,,line,3,2B03 Underbody (Seg 1) 8X,60c8da6de862ba0f553829e1,3,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,1B,2B,30,0,0,0,0,,,line,30,2B30 CLOSURE 1,60c8da86e862ba0f55382c45,30,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,1B,2B,4,0,0,180,N,,,workstation,2B4180N,8X-180 3B0030 Side Sill GEO,60f82694ca9d410ce02dce3e,2B4180N,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,1B,2B,4,0,0,180,S,,,workstation,2B4180S,8X-180 3B0040 Side Sill GEO,60f82694ca9d410ce02dce3f,2B4180S,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,1B,2B,5,0,0,240,S,,,workstation,2B5240S,8X-240 Merge U - D471 Load Rkr,60f82694ca9d410ce02dce50,2B5240S,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,1B,2B,6,0,0,020,0,,,station,2B6020,2B6020,60f82694ca9d410ce02dce5b,2B6020,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,1B,2B,6,0,0,030,0,,,station,2B6030,2B6030,60f82694ca9d410ce02dce5d,2B6030,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,1B,2B,6,0,0,030,C,,,workstation,2B6030C,8Y-30 Respot,60f82694ca9d410ce02dce5e,2B6030C,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,1B,2B,6,0,0,065,C,,,workstation,2B6065C,8Y-65 Facilities Decoupler,60f82694ca9d410ce02dce64,2B6065C,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,1B,2B,7,0,0,110,C,,,workstation,2B7110C,8Y-110 Respot,60f82694ca9d410ce02dce68,2B7110C,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,1B,2B,7,0,0,140,S,,,workstation,2B7140S,8Y-140 Weld BackUp,60f82694ca9d410ce02dce6f,2B7140S,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,1B,2B,7,0,0,142,C,,,workstation,2B7142C,8Y-142 Merge,60f82694ca9d410ce02dce71,2B7142C,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,1B,2B,8,0,0,170,C,,,workstation,2B8170C,8Y-170 Merge,60f82694ca9d410ce02dce75,2B8170C,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,1B,2B,8,0,0,180,C,,,workstation,2B8180C,8Y-180 Respot,60f82694ca9d410ce02dce77,2B8180C,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,1B,2B,8,0,0,190,0,,,station,2B8190,2B8190,60f82694ca9d410ce02dce78,2B8190,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,1B,2B,8,0,0,190,C,,,workstation,2B8190C,8Y-190 Respot,60f82694ca9d410ce02dce79,2B8190C,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
